original_name,cleaned_name,aligned_name,source,known,checked,stripped_name,could_match
Weinmannia racemosa,Weinmannia racemosa,NA,NA,FALSE,TRUE,weinmannia racemosa,NA
Grevillea sp. 'Stirling Range',Grevillea sp. 'Stirling Range',NA,NA,FALSE,TRUE,grevillea sp 'stirling range',NA
Eucalyptus sp. (box group),Eucalyptus sp. (box group),NA,NA,FALSE,TRUE,eucalyptus sp box group,NA
Eucalyptus sp. Nr. Moluccana,Eucalyptus sp. Nr. Moluccana,NA,NA,FALSE,TRUE,eucalyptus sp nr moluccana,NA
Eucalyptus robusta X Eucalyptus resinifera hybrid,Eucalyptus robusta X Eucalyptus resinifera hybrid,NA,NA,FALSE,TRUE,eucalyptus robusta x eucalyptus resinifera hybrid,NA
Eucalyptus occidentalis x Eucalyptus utilis,Eucalyptus occidentalis x Eucalyptus utilis,NA,NA,FALSE,TRUE,eucalyptus occidentalis x eucalyptus utilis,NA
Eucalyptus occidentalis x Eucalyptus rudis,Eucalyptus occidentalis x Eucalyptus rudis,NA,NA,FALSE,TRUE,eucalyptus occidentalis x eucalyptus rudis,NA
Eucalyptus sp. Aff. Transcontinentalis,Eucalyptus sp. Aff. Transcontinentalis,NA,NA,FALSE,TRUE,eucalyptus sp aff transcontinentalis,NA
Eucalyptus sp. nr. Moluccana,Eucalyptus sp. nr. Moluccana,NA,NA,FALSE,TRUE,eucalyptus sp nr moluccana,NA
Eucalyptus dumosa/pileata complex,Eucalyptus dumosa/pileata complex,NA,NA,FALSE,TRUE,eucalyptus dumosa/pileata complex,NA
Acmena paniculatum,Acmena paniculatum,NA,NA,FALSE,TRUE,acmena paniculatum,Syzygium paniculatum
Zyzygium sp.,Zyzygium sp.,NA,NA,FALSE,TRUE,zyzygium sp,NA
Waterhousea sp.,Waterhousea sp.,NA,NA,FALSE,TRUE,waterhousea sp,NA
Syzygium sp.,Syzygium sp.,NA,NA,FALSE,TRUE,syzygium sp,NA
Olearina sp.,Olearina sp.,NA,NA,FALSE,TRUE,olearina sp,NA
Olearia sp.,Olearia sp.,NA,NA,FALSE,TRUE,olearia sp,NA
Myoporum sp.,Myoporum sp.,NA,NA,FALSE,TRUE,myoporum sp,NA
Melaleuca spp.,Melaleuca sp.,NA,NA,FALSE,TRUE,melaleuca sp,NA
Heritiera sp.,Heritiera sp.,NA,NA,FALSE,TRUE,heritiera sp,NA
Hakea sp.,Hakea sp.,NA,NA,FALSE,TRUE,hakea sp,NA
Ficus sp.,Ficus sp.,NA,NA,FALSE,TRUE,ficus sp,NA
Eugenia sp.,Eugenia sp.,NA,NA,FALSE,TRUE,eugenia sp,NA
Eucalyptus spp.,Eucalyptus sp.,NA,NA,FALSE,TRUE,eucalyptus sp,NA
Eucalyptus sp.,Eucalyptus sp.,NA,NA,FALSE,TRUE,eucalyptus sp,NA
Eremophila spp.,Eremophila sp.,NA,NA,FALSE,TRUE,eremophila sp,NA
Eremophila sp.,Eremophila sp.,NA,NA,FALSE,TRUE,eremophila sp,NA
Ceratopetalum spp.,Ceratopetalum sp.,NA,NA,FALSE,TRUE,ceratopetalum sp,NA
Ceratopetalum sp.,Ceratopetalum sp.,NA,NA,FALSE,TRUE,ceratopetalum sp,NA
Casuarina spp.,Casuarina sp.,NA,NA,FALSE,TRUE,casuarina sp,NA
Calophyllum spp.,Calophyllum sp.,NA,NA,FALSE,TRUE,calophyllum sp,NA
Brugmansia spp.,Brugmansia sp.,NA,NA,FALSE,TRUE,brugmansia sp,NA
Brachychiton sp.,Brachychiton sp.,NA,NA,FALSE,TRUE,brachychiton sp,NA
Boronia sp.,Boronia sp.,NA,NA,FALSE,TRUE,boronia sp,NA
Banksia spp.,Banksia sp.,NA,NA,FALSE,TRUE,banksia sp,NA
Amyema spp.,Amyema sp.,NA,NA,FALSE,TRUE,amyema sp,NA
Amyema sp.,Amyema sp.,NA,NA,FALSE,TRUE,amyema sp,NA
Allocasuarina spp.,Allocasuarina sp.,NA,NA,FALSE,TRUE,allocasuarina sp,NA
Acacia spp.,Acacia sp.,NA,NA,FALSE,TRUE,acacia sp,NA
Albizia spp.,Albizia sp.,NA,NA,FALSE,TRUE,albizia sp,NA
Acacia sp.,Acacia sp.,NA,NA,FALSE,TRUE,acacia sp,NA
Rhodomyrtus sp.,Rhodomyrtus sp.,NA,NA,FALSE,TRUE,rhodomyrtus sp,NA
